ISIN,NAME,Country,Region,Years_With_Both_Scopes
GB0000365774,AEP PLANTATIONS,GB,EUR,"[2020, 2021, 2022, 2023, 2024]"
ES0134950F36,FAES FARMA,ES,EUR,"[2019, 2020, 2021, 2022, 2023]"
CH0210483332,RICHEMONT N,CH,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]"
DE0005200000,BEIERSDORF,DE,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
DE0005909006,BILFINGER BERGER,DE,EUR,"[2013, 2014, 2016, 2020, 2021, 2022, 2023, 2024]"
GB0031348658,BARCLAYS,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB00B1KJJ408,WHITBREAD,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]"
GB0004270301,HILL AND SMITH,GB,EUR,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB0006650450,OXFORD INSTRUMENTS,GB,EUR,"[2014, 2015, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB00B45C9X44,CHEMRING GROUP,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]"
GB0002869419,BIG YELLOW GROUP,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]"
GB00B5N0P849,WOOD GROUP (JOHN),GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
ES0144580Y14,IBERDROLA,ES,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
FR0000077919,JCDECAUX,FR,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
FR0000131906,RENAULT,FR,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB00BZ4BQC70,JOHNSON MATTHEY,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]"
BE0003822393,ELIA GROUP,BE,EUR,"[2019, 2020, 2021, 2022, 2023, 2024]"
SE0015961909,HEXAGON B,SE,EUR,"[2020, 2021, 2022, 2023, 2024]"
DE0005773303,FRAPORT,DE,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB00BG11K365,REDROW DEAD - DELIST.23/08/24,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2022, 2023]"
ES0130960018,ENAGAS,ES,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
ES0142090317,OBRASCON HUARTE LAIN,ES,EUR,"[2018, 2019, 2020, 2021, 2022, 2023, 2024]"
