ISIN,NAME,Country,Region,2009-01-30 00:00:00,2009-02-27 00:00:00,2009-03-31 00:00:00,2009-04-30 00:00:00,2009-05-29 00:00:00,2009-06-30 00:00:00,2009-07-31 00:00:00,2009-08-31 00:00:00,2009-09-30 00:00:00,2009-10-30 00:00:00,2009-11-30 00:00:00,2009-12-31 00:00:00,2010-01-29 00:00:00,2010-02-26 00:00:00,2010-03-31 00:00:00,2010-04-30 00:00:00,2010-05-31 00:00:00,2010-06-30 00:00:00,2010-07-30 00:00:00,2010-08-31 00:00:00,2010-09-30 00:00:00,2010-10-29 00:00:00,2010-11-30 00:00:00,2010-12-31 00:00:00,2011-01-31 00:00:00,2011-02-28 00:00:00,2011-03-31 00:00:00,2011-04-29 00:00:00,2011-05-31 00:00:00,2011-06-30 00:00:00,2011-07-29 00:00:00,2011-08-31 00:00:00,2011-09-30 00:00:00,2011-10-31 00:00:00,2011-11-30 00:00:00,2011-12-30 00:00:00,2012-01-31 00:00:00,2012-02-29 00:00:00,2012-03-30 00:00:00,2012-04-30 00:00:00,2012-05-31 00:00:00,2012-06-29 00:00:00,2012-07-31 00:00:00,2012-08-31 00:00:00,2012-09-28 00:00:00,2012-10-31 00:00:00,2012-11-30 00:00:00,2012-12-31 00:00:00,2013-01-31 00:00:00,2013-02-28 00:00:00,2013-03-29 00:00:00,2013-04-30 00:00:00,2013-05-31 00:00:00,2013-06-28 00:00:00,2013-07-31 00:00:00,2013-08-30 00:00:00,2013-09-30 00:00:00,2013-10-31 00:00:00,2013-11-29 00:00:00,2013-12-31 00:00:00,2014-01-31 00:00:00,2014-02-28 00:00:00,2014-03-31 00:00:00,2014-04-30 00:00:00,2014-05-30 00:00:00,2014-06-30 00:00:00,2014-07-31 00:00:00,2014-08-29 00:00:00,2014-09-30 00:00:00,2014-10-31 00:00:00,2014-11-28 00:00:00,2014-12-31 00:00:00,2015-01-30 00:00:00,2015-02-27 00:00:00,2015-03-31 00:00:00,2015-04-30 00:00:00,2015-05-29 00:00:00,2015-06-30 00:00:00,2015-07-31 00:00:00,2015-08-31 00:00:00,2015-09-30 00:00:00,2015-10-30 00:00:00,2015-11-30 00:00:00,2015-12-31 00:00:00,2016-01-29 00:00:00,2016-02-29 00:00:00,2016-03-31 00:00:00,2016-04-29 00:00:00,2016-05-31 00:00:00,2016-06-30 00:00:00,2016-07-29 00:00:00,2016-08-31 00:00:00,2016-09-30 00:00:00,2016-10-31 00:00:00,2016-11-30 00:00:00,2016-12-30 00:00:00,2017-01-31 00:00:00,2017-02-28 00:00:00,2017-03-31 00:00:00,2017-04-28 00:00:00,2017-05-31 00:00:00,2017-06-30 00:00:00,2017-07-31 00:00:00,2017-08-31 00:00:00,2017-09-29 00:00:00,2017-10-31 00:00:00,2017-11-30 00:00:00,2017-12-29 00:00:00,2018-01-31 00:00:00,2018-02-28 00:00:00,2018-03-30 00:00:00,2018-04-30 00:00:00,2018-05-31 00:00:00,2018-06-29 00:00:00,2018-07-31 00:00:00,2018-08-31 00:00:00,2018-09-28 00:00:00,2018-10-31 00:00:00,2018-11-30 00:00:00,2018-12-31 00:00:00
AT000000STR1,STRABAG SE,AT,EUR,37.65,26.48,39.79,47.36,45.32,46.42,50.92,66.98,67.95,65.11,65.84,62.44,57.6,51.79,53.54,55.49,49.54,46.99,49.61,45.4,51.33,55.69,50.23,59.41,62.79,63.58,68.76,72.65,66.74,65.91,64.05,77.61,68.42,68.92,66.26,63.67,65.16,67.06,67.48,59.25,48.45,52.62,51.82,51.6,55.54,57.51,60.41,61.69,62.14,56.45,51.43,52.8,49.27,47.94,51.91,49.68,57.9,61.08,68.17,68.14,69.13,63.24,60.1,64.8,68.66,72.96,63.25,64.92,55.76,51.2,54.54,52.02,52.41,56.78,52.95,55.24,56.46,54.08,59.19,60.08,54.5,55.94,61.1,62.09,58.97,62.24,73.41,76.23,76.76,74.7,77.6,80.13,82.84,83.14,83.57,88.06,90.9,92.54,97.11,101.47,103.45,109.83,112.4,109.26,110.62,106.31,98.74,103.93,110.26,101.28,100.72,104.63,106.58,103.28,106.29,104.0,104.28,92.9,93.74,77.43
AT00000VIE62,FLUGHAFEN WIEN,AT,EUR,252.17,172.2,183.43,211.36,270.31,283.46,269.67,296.03,362.86,352.34,353.16,349.14,327.64,320.47,348.4,393.01,368.14,388.22,424.44,430.23,426.45,455.85,452.69,505.73,484.26,494.67,467.3,463.96,449.85,393.59,381.83,379.23,331.95,350.67,297.77,293.67,284.75,288.71,300.79,354.04,311.87,315.38,311.01,364.15,369.63,360.86,393.68,451.48,491.68,477.93,475.05,494.29,491.87,464.93,516.91,520.02,551.77,630.0,653.45,684.58,655.11,739.57,807.04,798.25,781.54,772.79,779.05,745.81,693.2,761.72,804.06,771.62,719.25,714.5,721.65,744.15,760.19,734.57,734.78,774.63,763.25,802.17,791.85,806.23,743.08,739.03,926.83,968.74,936.07,935.33,1018.6,958.82,854.63,836.69,812.43,853.19,976.92,975.06,1094.17,1253.71,1313.47,1335.04,1378.19,1381.58,1373.39,1417.74,1406.19,1422.45,1556.91,1485.63,1443.89,1431.26,1377.42,1337.88,1355.47,1370.8,1464.38,1396.0,1395.08,1416.63
AT0000606306,RAIFFEISEN BANK INTL.,AT,EUR,50.76,47.13,69.71,86.9,104.1,89.05,113.87,135.65,167.08,151.84,152.11,145.37,128.28,115.52,122.18,126.19,110.48,98.94,117.29,105.8,120.52,145.3,127.26,141.97,151.99,155.09,143.44,142.55,140.98,137.18,133.67,111.02,79.15,75.39,62.73,69.36,90.63,96.83,93.96,88.41,73.04,90.79,91.89,93.1,100.75,111.07,114.43,115.23,124.66,105.21,94.6,98.15,95.06,80.9,89.05,100.48,96.12,108.03,108.36,103.64,117.81,106.9,102.24,96.7,102.77,101.85,87.91,81.96,69.41,68.04,66.19,48.4,37.44,48.32,44.62,53.6,48.98,46.39,46.89,43.15,41.71,50.69,49.91,47.16,40.05,42.54,48.42,51.0,42.71,39.97,42.1,45.27,48.6,52.22,58.17,58.49,70.86,71.07,72.19,72.72,84.14,80.43,93.75,104.55,106.96,111.18,113.19,115.71,137.66,124.5,123.96,107.94,100.9,100.29,109.06,93.13,94.11,89.21,96.33,82.91
AT0000652011,ERSTE GROUP BANK,AT,EUR,167.28,107.4,186.63,248.17,292.68,327.89,422.1,515.68,542.68,493.25,494.22,454.52,466.01,459.07,511.58,546.32,447.54,400.75,498.02,451.88,497.74,559.55,486.96,585.2,622.91,655.84,627.23,628.37,631.3,664.29,608.14,462.61,329.22,275.79,218.82,223.52,278.58,319.35,291.82,291.82,219.02,240.38,229.92,256.57,283.16,318.22,372.81,401.48,426.41,408.87,353.66,397.69,418.03,343.04,392.19,413.76,409.1,456.86,456.4,451.57,471.14,459.4,442.2,433.93,453.67,421.79,336.05,335.54,298.8,331.91,354.15,303.59,282.95,342.63,321.27,370.96,377.75,370.22,393.27,388.1,377.66,384.29,400.03,409.64,377.25,336.25,367.13,375.29,356.84,300.73,353.3,373.83,394.89,417.99,370.99,391.16,405.32,388.9,435.12,476.34,498.45,524.75,568.17,579.13,592.91,589.77,599.72,594.97,692.93,701.5,688.62,673.19,591.21,592.49,613.87,565.97,589.89,579.0,560.13,471.37
AT0000720008,TELEKOM AUSTRIA,AT,EUR,198.55,185.16,213.2,186.83,233.2,236.18,229.52,264.41,272.2,248.66,262.78,215.78,209.67,198.65,211.69,200.57,192.71,182.19,209.56,208.8,245.39,248.93,226.77,229.78,224.56,232.76,238.44,252.17,227.97,224.78,215.98,196.09,179.15,202.25,204.21,211.29,205.5,205.92,204.87,193.23,170.74,182.5,168.91,148.25,131.15,116.73,120.53,140.27,137.19,122.61,121.83,127.21,127.03,118.31,129.83,134.23,157.01,154.35,159.45,141.93,163.71,182.35,186.11,185.52,182.14,184.22,180.3,176.74,169.85,141.2,139.98,136.72,133.98,144.32,146.65,151.96,145.08,136.46,140.51,128.1,116.19,124.95,112.33,113.04,113.68,117.25,127.13,129.56,127.8,120.75,122.57,118.73,117.58,119.46,115.63,123.2,128.44,134.3,142.25,146.18,170.76,168.09,192.77,205.87,194.36,200.93,206.91,198.8,207.88,192.03,203.9,204.46,189.54,183.61,191.74,190.65,170.63,163.71,161.85,167.18
AT0000730007,ANDRITZ,AT,EUR,682.16,658.4,735.91,821.67,966.76,1003.68,1043.37,1088.69,1192.2,1328.03,1440.03,1391.29,1349.85,1361.99,1451.64,1510.29,1345.52,1378.52,1533.83,1492.57,1720.4,1871.58,1947.07,2257.7,2089.98,2067.69,2343.11,2595.5,2641.12,2583.38,2441.14,2334.99,2074.16,2241.43,2207.48,2088.34,2329.66,2498.45,2527.63,2707.51,2735.27,2660.23,2838.63,2674.48,2933.14,3115.33,3297.06,3310.84,3405.46,3653.58,3558.55,3453.89,2882.14,2713.31,2850.9,2911.32,3114.55,3265.86,3364.12,3326.34,2909.63,3329.93,3311.41,3322.49,3193.69,3095.08,2902.76,2873.08,2856.74,2585.18,2902.12,2961.47,2901.19,3097.18,3260.61,3189.56,3365.18,3016.37,3065.17,2610.1,2449.16,2758.82,2860.05,2668.52,2522.24,2614.92,2998.41,3143.0,2858.93,2647.05,2860.84,2858.25,3054.93,2930.45,2897.16,2822.34,3029.43,2939.6,2900.35,3197.76,3473.81,3479.23,3530.4,3143.26,3344.06,3270.67,3245.23,3270.19,3481.79,3365.06,3339.22,3219.81,2980.97,3174.33,3395.3,3548.69,3490.43,3100.81,2879.36,2742.8
AT0000743059,OMV,AT,EUR,1496.8,1381.45,1745.46,1640.41,2199.79,2030.78,2141.96,2139.21,2186.13,2249.86,2294.96,2389.33,2156.4,2013.71,2039.16,1952.46,1793.27,1707.31,1885.15,1820.24,2112.01,2102.1,1898.66,2350.5,2502.59,2396.71,2549.56,2573.45,2434.57,2562.31,2344.47,2322.87,1772.58,2068.27,1942.8,1785.15,1924.98,2191.93,2082.0,1985.95,1676.79,1934.99,1939.17,2046.41,2156.85,2249.48,2200.14,2220.12,2536.78,2683.07,2622.29,2895.16,2942.66,2864.55,2805.29,2925.17,3137.96,3034.53,3117.34,3044.74,2749.24,2892.06,2882.88,2968.97,2746.01,2991.8,2663.52,2564.47,2228.83,2081.27,1920.2,1763.66,1649.47,1912.23,1817.77,2207.64,1967.7,1909.11,1858.19,1776.81,1683.99,1856.07,1980.83,1970.76,1777.02,1824.11,1956.16,2084.28,2012.63,2021.72,1917.99,2019.1,2077.89,2252.77,2334.7,2554.7,2524.37,2765.42,2847.1,3322.46,3863.44,3836.71,4174.27,4250.62,4314.24,4448.8,4613.54,4696.74,4783.36,4253.25,4305.07,4606.88,4381.45,4326.27,4316.86,4050.15,4287.68,4246.77,3854.39,3335.71
AT0000746409,VERBUND,AT,EUR,2114.84,1712.77,2090.29,2369.56,3072.06,2907.26,2769.41,2901.48,2885.29,2578.56,2573.11,2435.25,2396.54,2331.32,2272.07,2226.86,1899.39,1836.55,2114.35,2124.95,2140.01,2378.83,1880.67,2229.24,2385.71,2282.04,2651.63,2747.82,2722.56,2639.12,2482.35,2341.31,1764.53,1780.29,1616.48,1633.25,1649.79,1707.79,1843.07,1743.88,1440.33,1428.84,1195.13,1264.83,1290.6,1449.74,1424.7,1541.15,1327.44,1296.82,1352.96,1416.86,1351.41,1225.94,1272.54,1242.37,1463.99,1519.97,1407.39,1382.09,1363.43,1370.52,1330.2,1339.8,1344.93,1339.01,1299.88,1357.97,1392.67,1396.93,1375.72,1279.7,1209.31,1309.9,1156.93,1196.72,1127.22,1023.81,1097.36,995.28,933.66,1001.87,975.3,907.9,850.54,768.37,901.79,1014.26,991.43,1024.87,1136.32,1119.57,1211.25,1209.77,1061.77,1161.74,1168.76,1209.33,1235.44,1227.36,1380.02,1406.89,1457.38,1586.02,1742.67,1796.46,1752.81,1787.8,2053.25,1965.14,2145.12,2336.01,2439.31,2429.31,2963.64,3055.27,3700.79,3029.84,3072.07,3197.6
AT0000908504,VIENNA INSURANCE GROUP A,AT,EUR,382.72,273.07,348.66,478.28,534.84,547.32,578.6,655.22,718.04,729.06,678.83,664.8,621.15,621.67,681.0,634.75,543.01,540.48,627.49,624.3,711.71,710.18,616.23,689.89,720.28,759.97,756.13,790.48,771.44,745.13,721.97,633.37,521.71,574.44,483.76,539.03,585.82,601.17,597.18,552.83,493.54,569.61,548.78,590.77,597.74,604.45,668.4,749.48,745.05,713.99,683.03,746.92,709.56,672.7,748.63,735.86,745.03,769.44,762.6,723.95,688.43,743.14,715.38,772.69,784.85,802.02,745.55,728.11,676.86,720.27,747.4,672.41,636.07,664.3,663.1,596.84,568.67,534.93,541.05,510.79,458.86,501.86,436.7,428.61,384.45,362.93,330.67,352.2,356.52,304.1,319.69,316.15,326.87,317.09,327.94,361.64,391.68,388.19,390.46,417.28,456.95,468.21,499.38,490.13,491.5,487.33,490.57,514.29,591.04,554.73,555.67,541.88,494.15,469.73,490.49,470.49,491.67,458.57,443.06,399.26
AT0000937503,VOESTALPINE,AT,EUR,519.78,415.65,348.53,517.36,766.12,730.79,778.99,909.15,1006.08,972.21,1001.53,1040.52,999.41,997.11,1143.66,1065.97,778.79,781.57,922.34,858.45,1063.79,1141.77,1173.68,1379.22,1295.87,1333.4,1355.83,1421.49,1441.98,1591.51,1530.44,1139.15,867.92,1027.93,852.18,829.24,967.24,1049.12,989.8,954.17,736.27,780.16,836.21,879.62,918.52,965.31,989.8,1117.94,1122.25,1036.38,942.96,958.02,1021.47,1081.03,1211.84,1352.07,1515.38,1497.81,1578.55,1524.52,1419.95,1428.49,1392.73,1444.83,1467.04,1507.06,1435.36,1399.72,1286.81,1303.05,1355.16,1291.55,1158.65,1275.13,1191.73,1364.75,1351.33,1353.67,1444.54,1222.11,1146.47,1217.26,1088.28,1030.19,877.5,970.63,1121.08,1206.34,1146.58,1115.79,1219.32,1143.08,1197.34,1222.18,1312.09,1360.61,1465.5,1460.23,1365.22,1444.84,1567.84,1609.77,1794.37,1840.23,1811.2,1953.96,2066.63,2125.33,2312.73,2061.56,1859.07,1875.3,1905.08,1635.59,1844.36,1652.98,1682.57,1307.72,1221.93,1097.0
